0(1) element: null (InstructionImpl)
1(2) element: Perl5 (InstructionImpl)
2(3) element: PsiPerlStringSqImpl(Perl5: STRING_SQ) (InstructionImpl)
3(4) element: PsiPerlPrintExprImpl(Perl5: PRINT_EXPR) (InstructionImpl)
4(5) element: PsiPerlLabelExprImpl(Perl5: LABEL_EXPR) (InstructionImpl)
5(10) element: PsiPerlGotoExprImpl(Perl5: GOTO_EXPR) (PerlNoResultInstruction)
6(7) element: PsiPerlLabelDeclarationImpl(Perl5: LABEL_DECLARATION) (InstructionImpl)
7(8) element: PsiPerlStringSqImpl(Perl5: STRING_SQ) (InstructionImpl)
8(9) element: PsiPerlPrintExprImpl(Perl5: PRINT_EXPR) (InstructionImpl)
9(20) element: PsiPerlReturnExprImpl(Perl5: RETURN_EXPR) (InstructionImpl)
10(11) element: PsiPerlLabelDeclarationImpl(Perl5: LABEL_DECLARATION) (InstructionImpl)
11(12) element: PsiPerlStringSqImpl(Perl5: STRING_SQ) (InstructionImpl)
12(13) element: PsiPerlPrintExprImpl(Perl5: PRINT_EXPR) (InstructionImpl)
13(14) element: PsiPerlLabelExprImpl(Perl5: LABEL_EXPR) (InstructionImpl)
14(6) element: PsiPerlGotoExprImpl(Perl5: GOTO_EXPR) (PerlNoResultInstruction)
15(16) element: PsiPerlStringSqImpl(Perl5: STRING_SQ) (InstructionImpl)
16(17) element: PsiPerlPrintExprImpl(Perl5: PRINT_EXPR) (InstructionImpl)
17(18) element: PsiPerlLabelDeclarationImpl(Perl5: LABEL_DECLARATION) (InstructionImpl)
18(19) element: PsiPerlStringSqImpl(Perl5: STRING_SQ) (InstructionImpl)
19(20) element: PsiPerlPrintExprImpl(Perl5: PRINT_EXPR) (InstructionImpl)
20() element: null (InstructionImpl)
